City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description,Rain in inches (last 3 hrs),Snow in inches (last 3 hrs)
112,Luderitz,-26.65,15.16,71.6,78,6,9.17,NA,2020-03-01 18:16:54,clear sky,0.0,0.0
113,Clovis,36.83,-119.7,55.4,50,75,9.17,US,2020-03-01 18:14:08,broken clouds,0.0,0.0
114,Bethel,41.37,-73.41,41.0,18,1,17.22,US,2020-03-01 18:16:54,clear sky,0.0,0.0
115,Witu,-2.39,40.44,82.33,82,77,10.76,KE,2020-03-01 18:12:01,broken clouds,0.0,0.0
116,Carnarvon,-24.87,113.63,78.8,88,0,10.29,AU,2020-03-01 18:16:54,clear sky,0.0,0.0
117,New Smyrna Beach,29.03,-80.93,72.0,30,1,5.82,US,2020-03-01 18:16:54,clear sky,0.0,0.0
118,Nikolskoye,59.7,30.79,37.4,86,40,8.95,RU,2020-03-01 18:16:54,scattered clouds,0.0,0.0
119,Viedma,-40.81,-63.0,98.53,12,0,12.12,AR,2020-03-01 18:13:31,clear sky,0.0,0.0
120,Lastoursville,-0.81,12.73,76.19,90,87,2.48,GA,2020-03-01 18:16:55,light rain,0.81,0.0
121,Sibolga,1.74,98.78,73.0,94,100,2.93,ID,2020-03-01 18:16:55,light rain,0.13,0.0
122,Norman Wells,65.28,-126.83,-5.8,76,90,8.05,CA,2020-03-01 18:16:55,overcast clouds,0.0,0.0
123,Portoferraio,42.81,10.31,59.0,76,40,12.75,IT,2020-03-01 18:16:55,scattered clouds,0.0,0.0
124,Oksfjord,70.24,22.35,23.0,85,75,20.8,NO,2020-03-01 18:16:55,shower rain,0.0,0.0
125,Jambusar,22.05,72.8,75.0,49,0,6.89,IN,2020-03-01 18:15:01,clear sky,0.0,0.0
126,Huarmey,-10.07,-78.15,82.67,54,56,11.14,PE,2020-03-01 18:16:56,broken clouds,0.0,0.0
127,Singaparna,-7.35,108.11,72.0,94,100,1.23,ID,2020-03-01 18:16:56,light rain,2.0,0.0
128,Tual,-5.67,132.75,82.36,76,83,2.98,ID,2020-03-01 18:13:35,broken clouds,0.0,0.0
129,Mahebourg,-20.41,57.7,80.6,88,40,4.47,MU,2020-03-01 18:13:18,scattered clouds,0.0,0.0
130,Buala,-8.14,159.59,81.91,77,35,5.19,SB,2020-03-01 18:16:57,light rain,0.56,0.0
131,Vardo,70.37,31.11,24.8,79,40,10.29,NO,2020-03-01 18:12:46,scattered clouds,0.0,0.0
132,Eyl,7.98,49.82,77.49,79,0,19.37,SO,2020-03-01 18:16:58,clear sky,0.0,0.0
133,Galdar,28.15,-15.65,68.0,68,20,23.04,ES,2020-03-01 18:16:58,few clouds,0.0,0.0
134,Hermanus,-34.42,19.23,72.0,81,50,4.0,ZA,2020-03-01 18:13:20,scattered clouds,0.0,0.0
135,Cidreira,-30.18,-50.21,74.52,66,0,11.59,BR,2020-03-01 18:16:58,clear sky,0.0,0.0
136,Port Alfred,-33.59,26.89,72.12,78,0,19.6,ZA,2020-03-01 18:16:58,clear sky,0.0,0.0
137,Lagoa,39.05,-27.98,63.54,86,99,24.45,PT,2020-03-01 18:16:58,light rain,0.38,0.0
138,Hamilton,39.18,-84.53,55.99,32,1,11.41,US,2020-03-01 18:16:58,clear sky,0.0,0.0
139,Porto Tolle,44.95,12.32,48.2,93,100,2.24,IT,2020-03-01 18:16:59,light rain,1.69,0.0
140,Jember,-8.17,113.7,68.7,85,100,2.24,ID,2020-03-01 18:16:59,light rain,0.19,0.0
141,Okhotsk,59.38,143.3,3.25,63,0,4.38,RU,2020-03-01 18:16:59,clear sky,0.0,0.0
142,Kalat,29.02,66.59,48.97,36,0,0.89,PK,2020-03-01 18:13:08,clear sky,0.0,0.0
143,Campos Do Jordao,-22.74,-45.59,77.0,69,75,14.99,BR,2020-03-01 18:16:59,broken clouds,0.0,0.0
144,Cherskiy,68.75,161.3,-9.42,91,15,9.78,RU,2020-03-01 18:16:59,few clouds,0.0,0.0
145,College,64.86,-147.8,10.99,77,75,5.03,US,2020-03-01 18:13:21,light snow,0.0,0.0
146,Butaritari,3.07,172.79,83.16,80,69,21.0,KI,2020-03-01 18:17:00,light rain,0.19,0.0
147,Ginir,7.13,40.7,66.36,35,22,0.89,ET,2020-03-01 18:12:22,few clouds,0.0,0.0
148,El Alto,-4.27,-81.21,62.6,100,40,9.17,PE,2020-03-01 18:17:01,scattered clouds,0.0,0.0
149,Yulara,-25.24,130.99,73.4,73,90,11.14,AU,2020-03-01 18:13:33,overcast clouds,0.0,0.0
150,Bitterfeld,51.62,12.32,46.0,80,53,6.93,DE,2020-03-01 18:17:01,broken clouds,0.0,0.0
151,Te Anau,-45.42,167.72,50.5,53,34,1.81,NZ,2020-03-01 18:13:32,scattered clouds,0.0,0.0
152,Harper,4.38,-7.72,79.75,91,79,4.85,LR,2020-03-01 18:17:02,moderate rain,4.94,0.0
153,Thompson,55.74,-97.86,17.6,92,90,10.29,CA,2020-03-01 18:17:02,light snow,0.0,0.0
154,Sakaraha,-22.9,44.53,68.13,70,14,14.85,MG,2020-03-01 18:17:02,few clouds,0.0,0.0
155,Beringovskiy,63.05,179.32,-5.64,86,0,8.86,RU,2020-03-01 18:17:03,clear sky,0.0,0.0
156,Kuusamo,65.97,29.18,15.8,92,90,4.7,FI,2020-03-01 18:17:03,light shower snow,0.0,0.0
157,Chuy,-33.7,-53.46,83.43,42,0,10.16,UY,2020-03-01 18:17:03,clear sky,0.0,0.0
158,Marzuq,14.4,46.47,68.16,53,0,4.41,YE,2020-03-01 18:17:03,clear sky,0.0,0.0
159,Marsa Matruh,31.35,27.25,57.2,62,0,8.05,EG,2020-03-01 18:17:03,clear sky,0.0,0.0
160,Labuhan,-6.88,112.21,75.16,94,100,3.15,ID,2020-03-01 18:17:03,overcast clouds,0.0,0.0
161,Malindi,-3.22,40.12,86.0,79,40,11.41,KE,2020-03-01 18:17:04,scattered clouds,0.0,0.0
162,Torbay,47.67,-52.73,28.99,73,90,17.22,CA,2020-03-01 18:17:04,overcast clouds,0.0,0.0
163,Avenal,36.0,-120.13,55.4,43,75,3.36,US,2020-03-01 18:17:04,broken clouds,0.0,0.0
164,Rawson,-43.3,-65.1,70.36,57,18,16.31,AR,2020-03-01 18:17:04,few clouds,0.0,0.0
165,Mundo Nuevo,18.7,-95.5,77.36,63,0,2.37,MX,2020-03-01 18:17:04,clear sky,0.0,0.0
166,Ribeira Grande,38.52,-28.7,64.4,88,40,19.46,PT,2020-03-01 18:17:05,scattered clouds,0.0,0.0
167,Boshnyakovo,49.63,142.17,9.32,95,74,4.47,RU,2020-03-01 18:13:03,broken clouds,0.0,0.0
168,Viseu,40.66,-7.91,61.0,100,75,14.99,PT,2020-03-01 18:17:05,light intensity drizzle rain,0.0,0.0
169,Prince Rupert,54.32,-130.32,35.6,93,90,16.11,CA,2020-03-01 18:13:22,light rain,0.0,0.0
170,Avera,33.19,-82.53,64.99,30,1,5.97,US,2020-03-01 18:17:05,clear sky,0.0,0.0
171,Lamont,35.26,-118.91,55.99,45,1,4.7,US,2020-03-01 18:17:05,clear sky,0.0,0.0
172,Hirara,24.8,125.28,67.77,85,78,24.36,JP,2020-03-01 18:17:03,light rain,0.13,0.0
173,Cabo San Lucas,22.89,-109.91,82.0,44,5,8.05,MX,2020-03-01 18:17:06,clear sky,0.0,0.0
174,Avarua,-21.21,-159.78,80.6,88,52,4.7,CK,2020-03-01 18:17:06,light rain,1.06,0.0
175,Illapel,-31.63,-71.17,78.76,35,0,10.98,CL,2020-03-01 18:17:06,clear sky,0.0,0.0
176,Guerrero Negro,27.98,-114.06,63.57,64,100,12.86,MX,2020-03-01 18:17:06,overcast clouds,0.0,0.0
177,Vostok,46.49,135.88,12.4,94,100,2.77,RU,2020-03-01 18:17:06,overcast clouds,0.0,0.0
178,Kurtamysh,54.91,64.43,24.04,93,100,6.91,RU,2020-03-01 18:17:07,overcast clouds,0.0,0.0
179,Yar-Sale,66.83,70.83,15.66,91,36,14.2,RU,2020-03-01 18:17:07,scattered clouds,0.0,0.0
180,Westport,41.14,-73.36,42.01,18,1,17.22,US,2020-03-01 18:17:07,clear sky,0.0,0.0
181,Zuwarah,32.93,12.08,69.89,37,78,9.48,LY,2020-03-01 18:17:07,broken clouds,0.0,0.0
182,Quelimane,-17.88,36.89,77.74,72,72,13.53,MZ,2020-03-01 18:16:57,light rain,0.13,0.0
183,Pangnirtung,66.15,-65.71,-23.8,67,5,2.24,CA,2020-03-01 18:17:07,clear sky,0.0,0.0
184,Pevek,69.7,170.31,-4.45,99,100,4.36,RU,2020-03-01 18:17:08,light snow,0.0,0.25
185,Kodiak,57.79,-152.41,37.4,69,75,11.41,US,2020-03-01 18:13:18,broken clouds,0.0,0.0
186,Maryville,35.76,-83.97,57.99,37,90,5.86,US,2020-03-01 18:17:08,overcast clouds,0.0,0.0
187,Santa Isabel Do Rio Negro,-0.41,-65.02,92.62,47,66,2.3,BR,2020-03-01 18:17:08,broken clouds,0.0,0.0
188,Hami,42.8,93.45,32.94,47,0,2.95,CN,2020-03-01 18:15:52,clear sky,0.0,0.0
189,Ndele,8.41,20.65,87.26,13,81,5.01,CF,2020-03-01 18:17:08,broken clouds,0.0,0.0
190,Mayo,38.89,-76.51,48.0,30,1,6.93,US,2020-03-01 18:17:09,clear sky,0.0,0.0
191,Narsaq,60.92,-46.05,8.6,46,0,2.24,GL,2020-03-01 18:17:09,clear sky,0.0,0.0
192,Voyinka,45.87,33.99,40.21,67,45,9.46,UA,2020-03-01 18:15:09,scattered clouds,0.0,0.0
193,Jiayuguan,39.82,98.3,31.55,38,0,8.55,CN,2020-03-01 18:14:24,clear sky,0.0,0.0
194,Iqaluit,63.75,-68.51,-14.01,68,5,14.99,CA,2020-03-01 18:17:09,clear sky,0.0,0.0
195,Korla,41.76,86.15,46.0,62,0,7.0,CN,2020-03-01 18:13:13,clear sky,0.0,0.0
196,Ust-Maya,60.42,134.53,-6.99,98,1,0.6,RU,2020-03-01 18:17:10,clear sky,0.0,0.0
197,Lattes,43.57,3.9,55.0,81,35,5.82,FR,2020-03-01 18:17:10,light rain,0.44,0.0
198,Bambous Virieux,-20.34,57.76,80.6,88,40,6.4,MU,2020-03-01 18:17:10,scattered clouds,0.0,0.0
199,Flinders,-34.58,150.86,72.0,68,67,5.82,AU,2020-03-01 18:17:10,broken clouds,0.0,0.0
200,Isagarh,24.83,77.88,67.32,53,8,7.83,IN,2020-03-01 18:17:11,clear sky,0.0,0.0
201,Svetlyy,54.67,20.13,46.4,65,90,6.71,RU,2020-03-01 18:13:08,overcast clouds,0.0,0.0
202,Sechura,-5.56,-80.82,75.58,86,100,10.8,PE,2020-03-01 18:17:12,overcast clouds,0.0,0.0
203,Sangueya,10.7,-14.37,84.31,59,71,12.97,GN,2020-03-01 18:17:12,broken clouds,0.0,0.0
204,Ahipara,-35.17,173.17,70.0,100,100,11.74,NZ,2020-03-01 18:17:12,light rain,0.13,0.0
205,Yining,29.04,114.56,46.36,92,0,3.76,CN,2020-03-01 18:17:12,clear sky,0.0,0.0
206,Isangel,-19.55,169.27,78.57,84,97,9.89,VU,2020-03-01 18:13:32,overcast clouds,0.0,0.0
207,Nome,64.5,-165.41,3.2,59,1,13.87,US,2020-03-01 18:17:13,clear sky,0.0,0.0
208,Huicungo,-7.28,-76.8,65.46,98,100,0.69,PE,2020-03-01 18:17:13,moderate rain,11.63,0.0
209,San Patricio,19.22,-104.7,82.4,74,5,6.93,MX,2020-03-01 18:17:13,clear sky,0.0,0.0
210,Autazes,-3.58,-59.13,90.86,53,97,2.89,BR,2020-03-01 18:17:13,overcast clouds,0.0,0.0
211,Athabasca,54.72,-113.29,15.73,90,12,11.79,CA,2020-03-01 18:17:13,few clouds,0.0,0.0
212,Madang,-5.22,145.8,77.95,93,100,19.51,PG,2020-03-01 18:17:13,heavy intensity rain,20.5,0.0
213,Revelstoke,50.98,-118.2,32.0,93,40,2.8,CA,2020-03-01 18:13:26,scattered clouds,0.0,0.0
214,Hithadhoo,-0.6,73.08,83.07,76,27,9.62,MV,2020-03-01 18:17:14,scattered clouds,0.0,0.0
