City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
310,Santa Rosa,PH,78.8,few clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
311,Forecariah,GN,89.24,clear sky,9.43,-13.09,"Motel "" La Maison Blanche"""
315,Mumford,GH,85.64,broken clouds,5.26,-0.76,Spanish Villa
319,Kanigoro,ID,73.99,overcast clouds,-8.13,112.22,KAMPOENG SOEKARELAWAN PMI JATIM
320,Champerico,GT,89.6,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
321,Ballina,AU,72.0,few clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
322,Sao Filipe,CV,74.71,clear sky,14.9,-24.5,Tortuga B&B
331,Olinda,BR,86.0,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
337,Road Town,VG,82.4,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
348,Lamu,KE,82.85,scattered clouds,-2.27,40.9,Lamu House
350,Paka,MY,75.04,broken clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
362,Kapit,MY,73.09,overcast clouds,2.02,112.93,Hotel Meligai Kapit
365,Mango,US,72.0,clear sky,27.98,-82.31,Embassy Suites by Hilton Tampa Brandon
383,Acapulco,MX,86.0,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
389,Riyadh,SA,75.2,clear sky,24.69,46.72,InterContinental Riyadh
390,Bushehr,IR,71.6,broken clouds,28.97,50.84,Yas Hotel
393,Kerema,PG,75.54,overcast clouds,-7.96,145.78,Elore Lodge
398,Saint-Joseph,RE,80.6,scattered clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
402,Port Hedland,AU,80.6,clear sky,-20.32,118.57,The Esplanade Hotel
404,Yanam,IN,71.6,scattered clouds,16.73,82.22,The Regency Hotel
409,Palin,GT,87.8,scattered clouds,14.41,-90.7,Finca El Barretal
411,San Blas,MX,80.6,clear sky,21.52,-105.27,Hotel Posada del Rey
420,Belmonte,BR,87.8,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
426,Sao Joao Da Barra,BR,78.8,light rain,-21.64,-41.05,Pousada Porto De Canoas
427,Garowe,SO,73.27,few clouds,8.41,48.48,Curubo Hotel
431,Lebu,CL,73.99,clear sky,-37.62,-73.65,Hostal Las Lilas
433,Kasane,BW,75.2,broken clouds,-17.82,25.15,Cresta Mowana
436,Honiara,SB,78.8,few clouds,-9.43,159.95,Heritage Park Hotel
439,Guarapari,BR,87.8,few clouds,-20.67,-40.5,Hotel Porto do Sol
455,Vao,NC,79.68,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
456,Ambon,ID,78.8,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
458,Canavieiras,BR,87.8,scattered clouds,-15.68,-38.95,Bahiadomizil
460,Banjar,ID,78.8,few clouds,-8.19,114.97,The Hamsa Resort
465,Manggar,ID,82.26,overcast clouds,-2.88,108.27,Guest Hotel
467,Atambua,ID,76.69,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
468,Coolum Beach,AU,70.0,clear sky,-26.53,153.1,Coolum Beach Resort
471,Bucerias,MX,81.0,clear sky,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
472,Florianopolis,BR,81.0,scattered clouds,-27.61,-48.5,Hotel Boutique Quinta das Videiras
473,Chhatapur,IN,72.36,clear sky,26.22,87.02,Kapildeo baharkher market in progress
479,Praia,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
480,Khorixas,,71.47,broken clouds,-20.37,14.97,Khorixas Lodge
482,Port-Gentil,GA,84.2,scattered clouds,-0.72,8.78,Fengshui Residence
485,Manacapuru,BR,87.8,scattered clouds,-3.3,-60.62,Novo Hotel
488,Raga,SS,80.89,broken clouds,8.46,25.68,
490,Nelson Bay,AU,73.99,broken clouds,-32.72,152.15,Mantra Nelson Bay
491,Alice Springs,AU,77.0,overcast clouds,-23.7,133.88,Desert Palms Alice Springs
493,Kudahuvadhoo,MV,82.71,scattered clouds,2.67,72.89,Kudahuvadhoo Retreat
498,Buloh Kasap,MY,71.85,broken clouds,2.55,102.76,Teratak Ixora Segamat
502,Rocha,UY,87.57,clear sky,-34.48,-54.33,Beleza Pura B&B
504,Allapalli,IN,74.43,clear sky,19.42,80.07,Hotel IK Residency
